lat,lng,countyName,city,state
47.0417,-122.8959,THURSTON,OLYMPIA,WA
38.3756,-75.5867,WICOMICO,SALISBURY,MD
30.4271,-89.0703,HARRISON,GULFPORT,MS
28.4772,-81.3369,ORANGE,ORLANDO,FL
42.3188,-71.0846,SUFFOLK,BOSTON,MA
36.618,-82.1606,BRISTOL,BRISTOL,VA
31.8479,-106.4309,EL PASO,EL PASO,TX
32.9068,-111.7624,PINAL,CASA GRANDE,AZ
39.5497,-119.8483,WASHOE,RENO,NV
29.7863,-95.3889,HARRIS,HOUSTON,TX
32.8153,-79.9628,CHARLESTON,CHARLESTON,SC
41.5485,-87.4587,LAKE,HIGHLAND,IN
35.5704,-82.5536,BUNCOMBE,ASHEVILLE,NC
47.6974,-122.2054,KING,KIRKLAND,WA
35.1316,-114.689,CLARK,LAUGHLIN,NV
42.962,-85.6562,KENT,GRAND RAPIDS,MI
35.1053,-106.6464,BERNALILLO,ALBUQUERQUE,NM
36.9789,-122.0346,SANTA CRUZ,SANTA CRUZ,CA
37.8902,-84.5669,JESSAMINE,NICHOLASVILLE,KY
45.6366,-122.5967,CLARK,VANCOUVER,WA
32.7811,-97.3473,TARRANT,FORT WORTH,TX
42.4765,-83.2605,OAKLAND,SOUTHFIELD,MI
34.1021,-118.0579,LOS ANGELES,TEMPLE CITY,CA
60.1124,-149.3925,KENAI PENINSULA,SEWARD,AK
44.3818,-123.5958,BENTON,ALSEA,OR
47.6671,-117.433,SPOKANE,SPOKANE,WA
40.1199,-90.5666,SCHUYLER,RUSHVILLE,IL
44.8893,-91.9084,DUNN,MENOMONIE,WI
42.6568,-122.8135,JACKSON,TRAIL,OR
47.2431,-122.4531,PIERCE,TACOMA,WA
38.9346,-99.5568,ELLIS,ELLIS,KS
41.8373,-87.6862,COOK,CHICAGO,IL
38.6358,-90.2451,ST. LOUIS,ST. LOUIS,MO
36.4319,-84.9341,FENTRESS,JAMESTOWN,TN
41.4767,-81.6804,CUYAHOGA,CLEVELAND,OH
39.9862,-82.985,FRANKLIN,COLUMBUS,OH
42.4614,-83.6526,OAKLAND,SOUTH LYON,MI
38.1663,-85.6485,JEFFERSON,LOUISVILLE,KY
39.1413,-84.5061,HAMILTON,CINCINNATI,OH
42.5809,-83.0305,MACOMB,STERLING HEIGHTS,MI
33.8574,-118.3766,LOS ANGELES,REDONDO BEACH,CA
38.9478,-92.3256,BOONE,COLUMBIA,MO
42.2597,-89.0641,WINNEBAGO,ROCKFORD,IL
28.6295,-81.3717,ORANGE,MAITLAND,FL
34.5983,-112.3176,YAVAPAI,PRESCOTT VALLEY,AZ
41.103,-112.0237,DAVIS,CLEARFIELD,UT
47.6211,-122.3244,KING,SEATTLE,WA
40.7634,-112.1599,SALT LAKE,MAGNA,UT
34.1139,-118.4068,LOS ANGELES,LOS ANGELES,CA
37.3836,-122.0256,SANTA CLARA,SUNNYVALE,CA
45.5372,-122.65,MULTNOMAH,PORTLAND,OR
32.8312,-117.1225,SAN DIEGO,SAN DIEGO,CA
33.8984,-113.9962,LA PAZ,BOUSE,AZ
37.2915,-77.2985,HOPEWELL,HOPEWELL,VA
33.3101,-111.7463,MARICOPA,GILBERT,AZ
40.752,-89.6153,PEORIA,PEORIA,IL
37.7562,-122.443,SAN FRANCISCO,SAN FRANCISCO,CA
33.3869,-110.7515,GILA,GLOBE,AZ
39.095,-76.8622,PRINCE GEORGE'S,LAUREL,MD
38.6712,-121.75,YOLO,WOODLAND,CA
39.161,-75.5203,KENT,DOVER,DE
44.0562,-121.3087,DESCHUTES,BEND,OR
33.7627,-84.4224,FULTON,ATLANTA,GA
22.2108,-159.3964,KAUAI,KILAUEA,HI
40.693600000000004,-80.3074,BEAVER,BEAVER,PA
35.1484,-120.6492,SAN LUIS OBISPO,PISMO BEACH,CA
40.6448,-83.6095,HARDIN,KENTON,OH
34.21,-77.8866,NEW HANOVER,WILMINGTON,NC
42.6664,-73.7987,ALBANY,ALBANY,NY
40.8387,-115.7674,ELKO,ELKO,NV
39.9297,-83.7957,CLARK,SPRINGFIELD,OH
27.49,-82.5739,MANATEE,BRADENTON,FL
33.2826,-111.8516,MARICOPA,CHANDLER,AZ
48.0874,-121.9706,SNOHOMISH,GRANITE FALLS,WA
33.3881,-111.9318,MARICOPA,TEMPE,AZ
42.4354,-123.1683,JACKSON,ROGUE RIVER,OR
38.5667,-121.4683,SACRAMENTO,SACRAMENTO,CA
41.5189,-88.1499,WILL,JOLIET,IL
26.8933,-82.0516,CHARLOTTE,PUNTA GORDA,FL
34.0506,-84.0687,GWINNETT,SUWANEE,GA
39.2934,-83.9797,CLINTON,BLANCHESTER,OH
45.3107,-122.7705,CLACKAMAS,WILSONVILLE,OR
47.7735,-122.2044,KING,BOTHELL,WA
40.6943,-73.9249,NEW YORK,NEW YORK,NY
39.4654,-87.3763,VIGO,TERRE HAUTE,IN
38.4001,-122.8276,SONOMA,SEBASTOPOL,CA
47.2017,-121.9897,KING,ENUMCLAW,WA
36.2333,-115.2654,CLARK,LAS VEGAS,NV
42.0463,-87.6942,COOK,EVANSTON,IL
34.6935,-118.1753,LOS ANGELES,LANCASTER,CA
27.6993,-80.8871,OSCEOLA,YEEHAW JUNCTION,FL
45.902,-112.6571,SILVER BOW,BUTTE,MT
40.7949,-72.8743,SUFFOLK,SHIRLEY,NY
33.3342,-118.3315,LOS ANGELES,AVALON,CA
40.1686,-105.1005,BOULDER,LONGMONT,CO
41.4226,-85.7492,KOSCIUSKO,SYRACUSE,IN
40.34,-75.9267,BERKS,READING,PA
34.1849,-118.7669,VENTURA,OAK PARK,CA
33.8471,-118.1221,LOS ANGELES,LAKEWOOD,CA
47.4356,-120.3283,CHELAN,WENATCHEE,WA
39.9835,-78.7724,SOMERSET,NEW BALTIMORE,PA
34.1879,-118.3235,LOS ANGELES,BURBANK,CA
25.7839,-80.2102,MIAMI-DADE,MIAMI,FL
32.1545,-110.8782,PIMA,TUCSON,AZ
47.8115,-122.3533,SNOHOMISH,EDMONDS,WA
45.211,-123.1918,YAMHILL,MCMINNVILLE,OR
40.399,-86.8594,TIPPECANOE,LAFAYETTE,IN
34.4487,-119.2469,VENTURA,OJAI,CA
37.9722,-122.0016,CONTRA COSTA,CONCORD,CA
26.305,-80.1277,BROWARD,DEERFIELD BEACH,FL
33.8017,-116.5382,RIVERSIDE,PALM SPRINGS,CA
35.463,-86.0774,COFFEE,MANCHESTER,TN
36.7335,-76.0435,VIRGINIA BEACH,VIRGINIA BEACH,VA
39.7771,-86.1458,MARION,INDIANAPOLIS,IN
41.006100000000004,-91.9669,JEFFERSON,FAIRFIELD,IA
34.0155,-118.1108,LOS ANGELES,MONTEBELLO,CA
27.9942,-82.4451,HILLSBOROUGH,TAMPA,FL
41.0404,-96.3707,SAUNDERS,ASHLAND,NE
33.5566,-79.0593,GEORGETOWN,MURRELLS INLET,SC
30.3322,-81.6749,DUVAL,JACKSONVILLE,FL
37.2303,-121.956,SANTA CLARA,LOS GATOS,CA
32.7936,-96.7662,DALLAS,DALLAS,TX
41.1878,-80.753,TRUMBULL,NILES,OH
39.4047,-123.3494,MENDOCINO,WILLITS,CA
41.2098,-93.8467,MADISON,TRURO,IA
32.2462,-97.7441,SOMERVELL,GLEN ROSE,TX
37.9819,-120.3828,TUOLUMNE,SONORA,CA
35.9692,-83.9496,KNOX,KNOXVILLE,TN
33.9902,-118.0888,LOS ANGELES,PICO RIVERA,CA
40.0077,-75.1339,PHILADELPHIA,PHILADELPHIA,PA
33.5722,-112.0891,MARICOPA,PHOENIX,AZ
40.571,-111.8505,SALT LAKE,SANDY,UT
28.2468,-82.717,PASCO,NEW PORT RICHEY,FL
36.2411,-116.0176,NYE,PAHRUMP,NV
47.9525,-122.1669,SNOHOMISH,EVERETT,WA
39.6468,-104.9942,ARAPAHOE,ENGLEWOOD,CO
44.0563,-123.1173,LANE,EUGENE,OR
32.8017,-116.9605,SAN DIEGO,EL CAJON,CA
41.6054,-87.7527,COOK,OAK FOREST,IL
39.0124,-94.2721,JACKSON,BLUE SPRINGS,MO
41.5327,-87.8779,WILL,MOKENA,IL
39.7621,-104.8759,DENVER,DENVER,CO
46.5923,-120.5496,YAKIMA,YAKIMA,WA
40.771,-82.6105,RICHLAND,ONTARIO,OH
40.7472,-86.3519,CASS,LOGANSPORT,IN
26.1412,-80.1464,BROWARD,FORT LAUDERDALE,FL
40.7693,-79.5327,ARMSTRONG,FORD CITY,PA
38.9627,-84.0846,CLERMONT,BETHEL,OH
46.2853,-96.076,OTTER TAIL,FERGUS FALLS,MN
36.8278,-119.6831,FRESNO,CLOVIS,CA
42.1181,-88.043,COOK,PALATINE,IL
45.5023,-122.4413,MULTNOMAH,GRESHAM,OR
43.6112,-116.3968,ADA,MERIDIAN,ID
40.2226,-74.0119,MONMOUTH,ASBURY PARK,NJ
47.1794,-122.2902,PIERCE,PUYALLUP,WA
43.0826,-89.3931,DANE,MADISON,WI
43.1796,-95.8441,O'BRIEN,SHELDON,IA
37.3408,-87.5034,HOPKINS,MADISONVILLE,KY
42.5824,-88.4281,WALWORTH,LAKE GENEVA,WI
40.0481,-78.6434,BEDFORD,SCHELLSBURG,PA
41.291,-86.621,STARKE,KNOX,IN
34.0511,-117.1712,SAN BERNARDINO,REDLANDS,CA
35.4605,-94.807,SEQUOYAH,SALLISAW,OK
38.7703,-121.3196,PLACER,ROSEVILLE,CA
40.809,-96.6788,LANCASTER,LINCOLN,NE
39.6019,-86.1073,JOHNSON,GREENWOOD,IN
39.5383,-83.4279,FAYETTE,WASHINGTON COURT HOUSE,OH
40.5478,-105.0656,LARIMER,FORT COLLINS,CO
42.1168,-80.0733,ERIE,ERIE,PA
43.4872,-112.0362,BONNEVILLE,IDAHO FALLS,ID
37.1492,-90.6969,WAYNE,PIEDMONT,MO
28.6615,-81.3953,SEMINOLE,ALTAMONTE SPRINGS,FL
38.2902,-122.4598,SONOMA,SONOMA,CA
33.7981,-118.1675,LOS ANGELES,LONG BEACH,CA
37.7927,-121.2264,SAN JOAQUIN,MANTECA,CA
40.2644,-80.9981,HARRISON,CADIZ,OH
32.5193,-94.7621,GREGG,LONGVIEW,TX
38.887,-94.687,JOHNSON,OVERLAND PARK,KS
38.0671,-97.9081,RENO,HUTCHINSON,KS
38.4825,-122.8899,SONOMA,FORESTVILLE,CA
61.1508,-149.1091,ANCHORAGE,ANCHORAGE,AK
40.7704,-72.9817,SUFFOLK,EAST PATCHOGUE,NY
33.696,-118.0025,ORANGE,HUNTINGTON BEACH,CA
35.6619,-105.9819,SANTA FE,SANTA FE,NM
36.8563,-121.3981,SAN BENITO,HOLLISTER,CA
33.8976,-118.1652,LOS ANGELES,PARAMOUNT,CA
38.5417,-122.8086,SONOMA,WINDSOR,CA
33.9678,-118.0188,LOS ANGELES,WHITTIER,CA
37.746,-105.8777,ALAMOSA,HOOPER,CO
34.0336,-117.0429,SAN BERNARDINO,YUCAIPA,CA
40.464,-86.1277,HOWARD,KOKOMO,IN
39.7853,-93.0772,LINN,BROOKFIELD,MO
32.5383,-81.9297,BULLOCH,PORTAL,GA
34.1082,-117.809,LOS ANGELES,SAN DIMAS,CA
27.2213,-81.8587,DESOTO,ARCADIA,FL
33.8616,-117.5649,RIVERSIDE,CORONA,CA
37.3414,-92.9116,WEBSTER,MARSHFIELD,MO
40.75,-73.6122,NASSAU,CARLE PLACE,NY
34.1248,-117.5666,SAN BERNARDINO,RANCHO CUCAMONGA,CA
28.0118,-81.7017,POLK,WINTER HAVEN,FL
37.6663,-121.8805,ALAMEDA,PLEASANTON,CA
40.0249,-105.2523,BOULDER,BOULDER,CO
38.8832,-94.8198,JOHNSON,OLATHE,KS
32.51,-84.8771,MUSCOGEE,COLUMBUS,GA
40.1989,-85.395,DELAWARE,MUNCIE,IN
33.889,-117.7714,ORANGE,YORBA LINDA,CA
32.5468,-82.8675,LAURENS,EAST DUBLIN,GA
33.7787,-117.9601,ORANGE,GARDEN GROVE,CA
43.0235,-83.6922,GENESEE,FLINT,MI
35.3529,-119.0359,KERN,BAKERSFIELD,CA
32.8955,-97.5379,TARRANT,AZLE,TX
34.1441,-84.9327,BARTOW,EUHARLEE,GA
29.6804,-82.3458,ALACHUA,GAINESVILLE,FL
32.2148,-98.2205,ERATH,STEPHENVILLE,TX
31.8436,-111.0174,PIMA,GREEN VALLEY,AZ
33.68,-112.4524,MARICOPA,SURPRISE,AZ
33.7096,-78.8843,HORRY,MYRTLE BEACH,SC
39.5084,-104.7753,DOUGLAS,PARKER,CO
41.2404,-75.9505,LUZERNE,PLYMOUTH,PA
42.4786,-83.4893,OAKLAND,NOVI,MI
19.4995,-155.8937,HAWAII,CAPTAIN COOK,HI
39.3051,-76.6144,BALTIMORE,BALTIMORE,MD
31.7127,-98.9767,BROWN,BROWNWOOD,TX
33.9069,-118.0829,LOS ANGELES,NORWALK,CA
34.4362,-84.125,DAWSON,DAWSONVILLE,GA
47.5436,-122.7122,KITSAP,BREMERTON,WA
25.6697,-80.3556,MIAMI-DADE,KENDALL,FL
36.1715,-86.7843,DAVIDSON,NASHVILLE,TN
47.8595,-121.9852,SNOHOMISH,MONROE,WA
43.984,-117.2418,MALHEUR,VALE,OR
39.9601,-75.6058,CHESTER,WEST CHESTER,PA
39.3409,-80.0161,TAYLOR,GRAFTON,WV
43.168,-77.6162,MONROE,ROCHESTER,NY
33.5659,-101.8878,LUBBOCK,LUBBOCK,TX
37.6399,-91.5346,DENT,SALEM,MO
30.395,-86.4701,OKALOOSA,DESTIN,FL
42.9338,-76.5684,CAYUGA,AUBURN,NY
36.3871,-105.5804,TAOS,TAOS,NM
33.6847,-117.3344,RIVERSIDE,LAKE ELSINORE,CA
28.3042,-81.4164,OSCEOLA,KISSIMMEE,FL
47.8284,-122.3033,SNOHOMISH,LYNNWOOD,WA
48.0028,-122.096,SNOHOMISH,LAKE STEVENS,WA
35.043,-94.6357,LE FLORE,POTEAU,OK
48.5427,-109.6803,HILL,HAVRE,MT
34.6649,-77.0291,CARTERET,EMERALD ISLE,NC
42.9016,-78.8487,ERIE,BUFFALO,NY
39.3239,-94.924,LEAVENWORTH,LEAVENWORTH,KS
30.1954,-98.094,HAYS,DRIPPING SPRINGS,TX
41.1205,-76.5253,COLUMBIA,MILLVILLE,PA
48.1142,-123.4565,CLALLAM,PORT ANGELES,WA
38.785,-90.7175,ST. CHARLES,O'FALLON,MO
40.3792,-111.7952,UTAH,AMERICAN FORK,UT
33.9011,-78.4394,BRUNSWICK,OCEAN ISLE BEACH,NC
41.5583,-73.0361,NEW HAVEN,WATERBURY,CT
33.8132,-84.5656,COBB,MABLETON,GA
35.217,-114.0105,MOHAVE,KINGMAN,AZ
41.9154,-83.385,MONROE,MONROE,MI
41.5095,-87.7468,COOK,MATTESON,IL
42.4442,-76.5032,TOMPKINS,ITHACA,NY
33.9931,-81.0932,LEXINGTON,WEST COLUMBIA,SC
35.9164,-82.2974,YANCEY,BURNSVILLE,NC
47.0966,-122.2111,PIERCE,ORTING,WA
34.1713,-83.9142,HALL,FLOWERY BRANCH,GA
27.1163,-82.4135,SARASOTA,VENICE,FL
35.0657,-85.2488,HAMILTON,CHATTANOOGA,TN
37.9789,-121.7958,CONTRA COSTA,ANTIOCH,CA
46.7525,-88.4477,BARAGA,L'ANSE,MI
36.228,-77.1136,BERTIE,AULANDER,NC
35.045,-81.9779,SPARTANBURG,BOILING SPRINGS,SC
33.0274,-85.0384,TROUP,LAGRANGE,GA
21.3294,-157.846,HONOLULU,HONOLULU,HI
39.4999,-121.5634,BUTTE,OROVILLE,CA
29.178,-82.1511,MARION,OCALA,FL
41.5787,-73.8078,DUTCHESS,HOPEWELL JUNCTION,NY
38.4061,-82.297,CABELL,BARBOURSVILLE,WV
42.1721,-92.3091,TAMA,DYSART,IA
33.3835,-84.2855,HENRY,HAMPTON,GA
42.8803,-87.9009,MILWAUKEE,OAK CREEK,WI
45.6832,-111.0552,GALLATIN,BOZEMAN,MT
44.9751,-124.0073,LINCOLN,LINCOLN CITY,OR
33.912,-78.3182,BRUNSWICK,HOLDEN BEACH,NC
41.6812,-72.9407,HARTFORD,BRISTOL,CT
36.1284,-95.9042,TULSA,TULSA,OK
39.535,-85.7792,SHELBY,SHELBYVILLE,IN
38.2705,-104.6112,PUEBLO,PUEBLO,CO
43.0409,-76.1438,ONONDAGA,SYRACUSE,NY
45.519,-123.0514,WASHINGTON,CORNELIUS,OR
40.0435,-74.0514,OCEAN,MANTOLOKING,NJ
44.9806,-85.7157,LEELANAU,LAKE LEELANAU,MI
38.4458,-122.7067,SONOMA,SANTA ROSA,CA
35.8492,-86.4119,RUTHERFORD,MURFREESBORO,TN
41.9803,-88.2069,COOK,BARTLETT,IL
33.823,-78.7089,HORRY,NORTH MYRTLE BEACH,SC
35.6235,-87.0486,MAURY,COLUMBIA,TN
36.6778,-76.3024,CHESAPEAKE,CHESAPEAKE,VA
44.0086,-70.057,ANDROSCOGGIN,LISBON FALLS,ME
42.0385,-88.3229,KANE,ELGIN,IL
40.5218,-88.9881,MCLEAN,NORMAL,IL
